"Program Code","Program Name","College Code"
"BSCS","Bachelor of Science in Computer Science","CCS"
"BSECE","Bachelor of Science in Electronics and Communications Engineering","COE"
"BSME","Bachelor of Science in Mechanical Engineering","COE"
"BSCEASSD","Bachelor of Science in Civil Engssssering","CME"
"BSEE","Bachelor of Science in Electrical Engineering","CEE"
"BSSE","Bachelor of Science in Software Engineering","CSE"
"BSIE","Bachelor of Science in Information Systems","CCS"
"BSDS","Bachelor of Science in Data Science","CCS"
"BSCS-AI","Bachelor of Science in Computer Science - Artificial Intelligence","CCIA"
"BSCS-CYB","Bachelor of Science in Cybersecurity","CSY"
"BSCPE","Bachelor of Science in Computer Engineering","COE"
"BSEnE","Bachelor of Science in Environmental Engineering","CES"
"BSAg","Bachelor of Science in Agriculture","CIR"
"BSForestry","Bachelor of Science in Forestry","CFN"
"BSMarEng","Bachelor of Science in Marine Engineering","CMT"
"BSMarTrans","Bachelor of Science in Maritime Transportation","CMT"
"BSArch","Bachelor of Science in Architecture","CAD"
"BFA","Bachelor of Fine Arts","CFA"
"BAComm","Bachelor of Arts in Communication","CCM"
"BAJourn","Bachelor of Arts in Journalism","CCM"
"BAFilm","Bachelor of Arts in Film","CCM"
"BAEng","Bachelor of Arts in English","CLA"
"BAPhil","Bachelor of Arts in Philosophy","CLA"
"BSMath","Bachelor of Science in Mathematics","CSM"
"BSStat","Bachelor of Science in Statistics","CSM"
"BSPsych","Bachelor of Science in Psychology","CPY"
"BSBio","Bachelor of Science in Biology","CSM"
"BSChem","Bachelor of Science in Chemistry","CSM"
"BSPH","Bachelor of Science in Public Health","CPH"
"BSPharm","Bachelor of Science in Pharmacy","CPT"
"BMD","Bachelor of Medicine","CMS"
"BND","Bachelor of Nursing","CNA"
"BSRT","Bachelor of Science in Radiologic Technology","CNAH"
"BSMedTech","Bachelor of Science in Medical Technology","CMS"
"BSHrm","Bachelor of Science in Hotel and Restaurant Management","CHRM"
"BSHM","Bachelor of Science in Hospitality Management","CHT"
"BSTour","Bachelor of Science in Tourism","CHT"
"BSHRM-CUL","Bachelor of Science in Hospitality and Restaurant Management - Culinary","CCF"
"BSAcc","Bachelor of Science in Accountancy","CBA"
"BSBA","Bachelor of Science in Business Administration","CBA"
